==15435== NVPROF is profiling process 15435, command: ./3DConvolution.exe
==15435== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15435== Profiling application: ./3DConvolution.exe
==15435== Profiling result:
==15435== Event result:
Invocations                                Event Name         Min         Max         Avg
Device "Tesla K40m (0)"
	Kernel: convolution3D_kernel(int, int, int, float*, float*, int)
        254                 tex0_cache_sector_queries           0           0           0
        254                 tex1_cache_sector_queries           0           0           0
        254                 tex2_cache_sector_queries           0           0           0
        254                 tex3_cache_sector_queries           0           0           0
        254                  tex0_cache_sector_misses           0           0           0
        254                  tex1_cache_sector_misses           0           0           0
        254                  tex2_cache_sector_misses           0           0           0
        254                  tex3_cache_sector_misses           0           0           0
        254                     fb_subp0_read_sectors        1035       17065       16838
        254                     fb_subp1_read_sectors        1100       17079       16847
        254                    fb_subp0_write_sectors        4678        4811        4727
        254                    fb_subp1_write_sectors        4670        4808        4725
        254              l2_subp0_write_sector_misses        1904        1938        1908
        254              l2_subp1_write_sector_misses        1904        1939        1908
        254              l2_subp2_write_sector_misses        1820        1952        1907
        254              l2_subp3_write_sector_misses        1904        1941        1907
        254               l2_subp0_read_sector_misses         346        6192        6109
        254               l2_subp1_read_sector_misses         355        6192        6110
        254               l2_subp2_read_sector_misses         430        6188        6110
        254               l2_subp3_read_sector_misses         334        6190        6112
        254          l2_subp0_write_l1_sector_queries        2032        2072        2034
        254          l2_subp1_write_l1_sector_queries        2032        2052        2032
        254          l2_subp2_write_l1_sector_queries        2032        2068        2033
        254          l2_subp3_write_l1_sector_queries        2032        2060        2033
        254           l2_subp0_read_l1_sector_queries       25904       25915       25907
        254           l2_subp1_read_l1_sector_queries       25904       25915       25907
        254           l2_subp2_read_l1_sector_queries       25904       25915       25908
        254           l2_subp3_read_l1_sector_queries       25904       25915       25908
        254              l2_subp0_read_l1_hit_sectors       19760       25640       19806
        254              l2_subp1_read_l1_hit_sectors       19760       25625       19806
        254              l2_subp2_read_l1_hit_sectors       19760       25575       19806
        254              l2_subp3_read_l1_hit_sectors       19760       25572       19807
        254          l2_subp0_read_tex_sector_queries           0           0           0
        254          l2_subp1_read_tex_sector_queries           0           0           0
        254          l2_subp2_read_tex_sector_queries           0           0           0
        254          l2_subp3_read_tex_sector_queries           0           0           0
        254             l2_subp0_read_tex_hit_sectors           0           0           0
        254             l2_subp1_read_tex_hit_sectors           0           0           0
        254             l2_subp2_read_tex_hit_sectors           0           0           0
        254             l2_subp3_read_tex_hit_sectors           0           0           0
        254        rocache_subp0_gld_thread_count_32b           0           0           0
        254        rocache_subp1_gld_thread_count_32b           0           0           0
        254        rocache_subp2_gld_thread_count_32b           0           0           0
        254        rocache_subp3_gld_thread_count_32b           0           0           0
        254        rocache_subp0_gld_thread_count_64b           0           0           0
        254        rocache_subp1_gld_thread_count_64b           0           0           0
        254        rocache_subp2_gld_thread_count_64b           0           0           0
        254        rocache_subp3_gld_thread_count_64b           0           0           0
        254       rocache_subp0_gld_thread_count_128b           0           0           0
        254       rocache_subp1_gld_thread_count_128b           0           0           0
        254       rocache_subp2_gld_thread_count_128b           0           0           0
        254       rocache_subp3_gld_thread_count_128b           0           0           0
        254          rocache_subp0_gld_warp_count_32b           0           0           0
        254          rocache_subp1_gld_warp_count_32b           0           0           0
        254          rocache_subp2_gld_warp_count_32b           0           0           0
        254          rocache_subp3_gld_warp_count_32b           0           0           0
        254          rocache_subp0_gld_warp_count_64b           0           0           0
        254          rocache_subp1_gld_warp_count_64b           0           0           0
        254          rocache_subp2_gld_warp_count_64b           0           0           0
        254          rocache_subp3_gld_warp_count_64b           0           0           0
        254         rocache_subp0_gld_warp_count_128b           0           0           0
        254         rocache_subp1_gld_warp_count_128b           0           0           0
        254         rocache_subp2_gld_warp_count_128b           0           0           0
        254         rocache_subp3_gld_warp_count_128b           0           0           0
        254       l2_subp0_read_sysmem_sector_queries           0           0           0
        254       l2_subp1_read_sysmem_sector_queries           0           0           0
        254       l2_subp2_read_sysmem_sector_queries           0           0           0
        254       l2_subp3_read_sysmem_sector_queries           0           0           0
        254      l2_subp0_write_sysmem_sector_queries           0           4           0
        254      l2_subp1_write_sysmem_sector_queries           0           4           1
        254      l2_subp2_write_sysmem_sector_queries           0           5           1
        254      l2_subp3_write_sysmem_sector_queries           0           5           0
        254        l2_subp0_total_read_sector_queries       25904       26042       25934
        254        l2_subp1_total_read_sector_queries       25904       26059       25934
        254        l2_subp2_total_read_sector_queries       25944       26066       25975
        254        l2_subp3_total_read_sector_queries       25944       26054       25975
        254       l2_subp0_total_write_sector_queries        2032        2068        2036
        254       l2_subp1_total_write_sector_queries        2032        2062        2035
        254       l2_subp2_total_write_sector_queries        2032        2062        2036
