==8039== NVPROF is profiling process 8039, command: ./2mm.exe
==8039== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==8039== Profiling application: ./2mm.exe
==8039== Profiling result:
==8039== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Quadro M4000 (0)"
    Kernel: mm2_kernel1(int, int, int, int, float, float, float*, float*, float*)
          1                 tex0_cache_sector_queries   335675392   335675392   335675392   335675392
          1                 tex1_cache_sector_queries   335675392   335675392   335675392   335675392
          1                  tex0_cache_sector_misses   218234880   218234880   218234880   218234880
          1                  tex1_cache_sector_misses   218234880   218234880   218234880   218234880
          1                     fb_subp0_read_sectors     2970000     2970000     2970000     2970000
          1                     fb_subp1_read_sectors     2836269     2836269     2836269     2836269
          1                    fb_subp0_write_sectors       79246       79246       79246       79246
          1                    fb_subp1_write_sectors       78536       78536       78536       78536
          1              l2_subp0_write_sector_misses       81064       81064       81064       81064
          1              l2_subp1_write_sector_misses       81102       81102       81102       81102
          1               l2_subp0_read_sector_misses     2970076     2970076     2970076     2970076
          1               l2_subp1_read_sector_misses     2970119     2970119     2970119     2970119
          1          l2_subp0_read_tex_sector_queries    83886080    83886080    83886080    83886080
          1          l2_subp1_read_tex_sector_queries    83886080    83886080    83886080    83886080
          1         l2_subp0_write_tex_sector_queries    67174400    67174400    67174400    67174400
          1         l2_subp1_write_tex_sector_queries    67174400    67174400    67174400    67174400
          1             l2_subp0_read_tex_hit_sectors    81183708    81183708    81183708    81183708
          1             l2_subp1_read_tex_hit_sectors    81183704    81183704    81183704    81183704
          1            l2_subp0_write_tex_hit_sectors    67108864    67108864    67108864    67108864
          1            l2_subp1_write_tex_hit_sectors    67108864    67108864    67108864    67108864
          1        l2_subp0_total_read_sector_queries    84019937    84019937    84019937    84019937
          1        l2_subp1_total_read_sector_queries    84019944    84019944    84019944    84019944
          1       l2_subp0_total_write_sector_queries    67174402    67174402    67174402    67174402
          1       l2_subp1_total_write_sector_queries    67174404    67174404    67174404    67174404
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm   240944312   240944312   240944312   240944312
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit  2147483648  2147483648  2147483648  2147483648
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit  1074790400  1074790400  1074790400  1074790400
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       32768       32768       32768       32768
          1                              inst_issued0   681640286   681640286   681640286   681640286
          1                              inst_issued1   269723988   269723988   269723988   269723988
          1                              inst_issued2       32768       32768       32768       32768
          1                             inst_executed   269778944   269778944   269778944   269778944
          1                      thread_inst_executed  8632926208  8632926208  8632926208  8632926208
          1   not_predicated_off_thread_inst_executed  8628731904  8628731904  8628731904  8628731904
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load    67108864    67108864    67108864    67108864
          1                              global_store    33587200    33587200    33587200    33587200
          1                          divergent_branch           0           0           0           0
          1                                    branch     8552448     8552448     8552448     8552448
          1                             active_cycles   238878305   238878305   238878305   238878305
          1                              active_warps  1.5159e+10  1.5159e+10  1.5159e+10  1.5159e+10
          1                               active_ctas  1900572849  1900572849  1900572849  1900572849
          1                           sm_cta_launched        4096        4096        4096        4096
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
    Kernel: mm2_kernel2(int, int, int, int, float, float, float*, float*, float*)
          1                 tex0_cache_sector_queries   335806464   335806464   335806464   335806464
          1                 tex1_cache_sector_queries   335806464   335806464   335806464   335806464
          1                  tex0_cache_sector_misses   218300416   218300416   218300416   218300416
          1                  tex1_cache_sector_misses   218300416   218300416   218300416   218300416
          1                     fb_subp0_read_sectors     3035504     3035504     3035504     3035504
          1                     fb_subp1_read_sectors     3035547     3035547     3035547     3035547
          1                    fb_subp0_write_sectors       78686       78686       78686       78686
          1                    fb_subp1_write_sectors       79248       79248       79248       79248
          1              l2_subp0_write_sector_misses       80028       80028       80028       80028
          1              l2_subp1_write_sector_misses       80018       80018       80018       80018
          1               l2_subp0_read_sector_misses     3035596     3035596     3035596     3035596
          1               l2_subp1_read_sector_misses     3035615     3035615     3035615     3035615
          1          l2_subp0_read_tex_sector_queries    83951616    83951616    83951616    83951616
          1          l2_subp1_read_tex_sector_queries    83951616    83951616    83951616    83951616
          1         l2_subp0_write_tex_sector_queries    67174400    67174400    67174400    67174400
          1         l2_subp1_write_tex_sector_queries    67174400    67174400    67174400    67174400
          1             l2_subp0_read_tex_hit_sectors    81183744    81183744    81183744    81183744
