==14850== NVPROF is profiling process 14850, command: ./3DConvolution.exe
==14850== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14850== Profiling application: ./3DConvolution.exe
==14850== Profiling result:
==14850== Event result:
Invocations                                Event Name         Min         Max         Avg
Device "Tesla K40m (0)"
	Kernel: convolution3D_kernel(int, int, int, float*, float*, int)
        254                 tex0_cache_sector_queries           0           0           0
        254                 tex1_cache_sector_queries           0           0           0
        254                 tex2_cache_sector_queries           0           0           0
        254                 tex3_cache_sector_queries           0           0           0
        254                  tex0_cache_sector_misses           0           0           0
        254                  tex1_cache_sector_misses           0           0           0
        254                  tex2_cache_sector_misses           0           0           0
        254                  tex3_cache_sector_misses           0           0           0
        254                     fb_subp0_read_sectors         812       16567       16326
        254                     fb_subp1_read_sectors         933       16574       16331
        254                    fb_subp0_write_sectors        4609        4781        4661
        254                    fb_subp1_write_sectors        4594        4746        4661
        254              l2_subp0_write_sector_misses        1905        1941        1909
        254              l2_subp1_write_sector_misses        1905        1934        1908
        254              l2_subp2_write_sector_misses        1905        1937        1909
        254              l2_subp3_write_sector_misses        1905        1944        1909
        254               l2_subp0_read_sector_misses         292        6186        6108
        254               l2_subp1_read_sector_misses         315        6200        6107
        254               l2_subp2_read_sector_misses         276        6196        6109
        254               l2_subp3_read_sector_misses         272        6213        6111
        254          l2_subp0_write_l1_sector_queries        2032        2056        2033
        254          l2_subp1_write_l1_sector_queries        2032        2060        2033
        254          l2_subp2_write_l1_sector_queries        2032        2060        2034
        254          l2_subp3_write_l1_sector_queries        2032        2064        2034
        254           l2_subp0_read_l1_sector_queries       25904       25915       25907
        254           l2_subp1_read_l1_sector_queries       25904       25915       25907
        254           l2_subp2_read_l1_sector_queries       25904       25915       25908
        254           l2_subp3_read_l1_sector_queries       25904       25915       25908
        254              l2_subp0_read_l1_hit_sectors       19760       25680       19806
        254              l2_subp1_read_l1_hit_sectors       19760       25633       19806
        254              l2_subp2_read_l1_hit_sectors       19760       25687       19807
        254              l2_subp3_read_l1_hit_sectors       19760       25668       19807
        254          l2_subp0_read_tex_sector_queries           0           0           0
        254          l2_subp1_read_tex_sector_queries           0           0           0
        254          l2_subp2_read_tex_sector_queries           0           0           0
        254          l2_subp3_read_tex_sector_queries           0           0           0
        254             l2_subp0_read_tex_hit_sectors           0           0           0
        254             l2_subp1_read_tex_hit_sectors           0           0           0
        254             l2_subp2_read_tex_hit_sectors           0           0           0
        254             l2_subp3_read_tex_hit_sectors           0           0           0
        254        rocache_subp0_gld_thread_count_32b           0           0           0
        254        rocache_subp1_gld_thread_count_32b           0           0           0
        254        rocache_subp2_gld_thread_count_32b           0           0           0
        254        rocache_subp3_gld_thread_count_32b           0           0           0
        254        rocache_subp0_gld_thread_count_64b           0           0           0
        254        rocache_subp1_gld_thread_count_64b           0           0           0
        254        rocache_subp2_gld_thread_count_64b           0           0           0
        254        rocache_subp3_gld_thread_count_64b           0           0           0
        254       rocache_subp0_gld_thread_count_128b           0           0           0
        254       rocache_subp1_gld_thread_count_128b           0           0           0
        254       rocache_subp2_gld_thread_count_128b           0           0           0
        254       rocache_subp3_gld_thread_count_128b           0           0           0
        254          rocache_subp0_gld_warp_count_32b           0           0           0
        254          rocache_subp1_gld_warp_count_32b           0           0           0
        254          rocache_subp2_gld_warp_count_32b           0           0           0
        254          rocache_subp3_gld_warp_count_32b           0           0           0
        254          rocache_subp0_gld_warp_count_64b           0           0           0
        254          rocache_subp1_gld_warp_count_64b           0           0           0
        254          rocache_subp2_gld_warp_count_64b           0           0           0
        254          rocache_subp3_gld_warp_count_64b           0           0           0
        254         rocache_subp0_gld_warp_count_128b           0           0           0
        254         rocache_subp1_gld_warp_count_128b           0           0           0
        254         rocache_subp2_gld_warp_count_128b           0           0           0
        254         rocache_subp3_gld_warp_count_128b           0           0           0
        254       l2_subp0_read_sysmem_sector_queries           0           0           0
        254       l2_subp1_read_sysmem_sector_queries           0           0           0
        254       l2_subp2_read_sysmem_sector_queries           0           0           0
        254       l2_subp3_read_sysmem_sector_queries           0           0           0
        254      l2_subp0_write_sysmem_sector_queries           0           5           1
        254      l2_subp1_write_sysmem_sector_queries           0           5           2
        254      l2_subp2_write_sysmem_sector_queries           0           5           0
        254      l2_subp3_write_sysmem_sector_queries           0           4           1
        254        l2_subp0_total_read_sector_queries       25904       26011       25928
        254        l2_subp1_total_read_sector_queries       25904       25998       25930
        254        l2_subp2_total_read_sector_queries       25944       26051       25968
        254        l2_subp3_total_read_sector_queries       25944       26048       25965
        254       l2_subp0_total_write_sector_queries        2032        2067        2037
        254       l2_subp1_total_write_sector_queries        2032        2066        2037
        254       l2_subp2_total_write_sector_queries        2032        2062        2037
