==13101== NVPROF is profiling process 13101, command: ./2mm.exe
==13101== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13101== Profiling application: ./2mm.exe
==13101== Profiling result:
==13101== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Quadro M4000 (0)"
    Kernel: mm2_kernel1(int, int, int, int, float, float, float*, float*, float*)
          1                 tex0_cache_sector_queries   335675392   335675392   335675392   335675392
          1                 tex1_cache_sector_queries   335675392   335675392   335675392   335675392
          1                  tex0_cache_sector_misses   218234880   218234880   218234880   218234880
          1                  tex1_cache_sector_misses   218234880   218234880   218234880   218234880
          1                     fb_subp0_read_sectors     2900728     2900728     2900728     2900728
          1                     fb_subp1_read_sectors     2905663     2905663     2905663     2905663
          1                    fb_subp0_write_sectors       79248       79248       79248       79248
          1                    fb_subp1_write_sectors       79242       79242       79242       79242
          1              l2_subp0_write_sector_misses       79242       79242       79242       79242
          1              l2_subp1_write_sector_misses       79252       79252       79252       79252
          1               l2_subp0_read_sector_misses     2901149     2901149     2901149     2901149
          1               l2_subp1_read_sector_misses     2901156     2901156     2901156     2901156
          1          l2_subp0_read_tex_sector_queries    83886080    83886080    83886080    83886080
          1          l2_subp1_read_tex_sector_queries    83886080    83886080    83886080    83886080
          1         l2_subp0_write_tex_sector_queries    67174400    67174400    67174400    67174400
          1         l2_subp1_write_tex_sector_queries    67174400    67174400    67174400    67174400
          1             l2_subp0_read_tex_hit_sectors    81183744    81183744    81183744    81183744
          1             l2_subp1_read_tex_hit_sectors    81183744    81183744    81183744    81183744
          1            l2_subp0_write_tex_hit_sectors    67108864    67108864    67108864    67108864
          1            l2_subp1_write_tex_hit_sectors    67108864    67108864    67108864    67108864
          1        l2_subp0_total_read_sector_queries    84080858    84080858    84080858    84080858
          1        l2_subp1_total_read_sector_queries    84080883    84080883    84080883    84080883
          1       l2_subp0_total_write_sector_queries    67174405    67174405    67174405    67174405
          1       l2_subp1_total_write_sector_queries    67174401    67174401    67174401    67174401
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm   242062998   242062998   242062998   242062998
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit  2147483648  2147483648  2147483648  2147483648
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit  1074790400  1074790400  1074790400  1074790400
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       32768       32768       32768       32768
          1                              inst_issued0   688757032   688757032   688757032   688757032
          1                              inst_issued1   269724172   269724172   269724172   269724172
          1                              inst_issued2       32768       32768       32768       32768
          1                             inst_executed   269778944   269778944   269778944   269778944
          1                      thread_inst_executed  8632926208  8632926208  8632926208  8632926208
          1   not_predicated_off_thread_inst_executed  8628731904  8628731904  8628731904  8628731904
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load    67108864    67108864    67108864    67108864
          1                              global_store    33587200    33587200    33587200    33587200
          1                          divergent_branch           0           0           0           0
          1                                    branch     8552448     8552448     8552448     8552448
          1                             active_cycles   238879558   238879558   238879558   238879558
          1                              active_warps  1.5216e+10  1.5216e+10  1.5216e+10  1.5216e+10
          1                               active_ctas  1906490314  1906490314  1906490314  1906490314
          1                           sm_cta_launched        4096        4096        4096        4096
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
    Kernel: mm2_kernel2(int, int, int, int, float, float, float*, float*, float*)
          1                 tex0_cache_sector_queries   335806464   335806464   335806464   335806464
          1                 tex1_cache_sector_queries   335806464   335806464   335806464   335806464
          1                  tex0_cache_sector_misses   218300416   218300416   218300416   218300416
          1                  tex1_cache_sector_misses   218300416   218300416   218300416   218300416
          1                     fb_subp0_read_sectors     2956444     2956444     2956444     2956444
          1                     fb_subp1_read_sectors     2958639     2958639     2958639     2958639
          1                    fb_subp0_write_sectors       79248       79248       79248       79248
          1                    fb_subp1_write_sectors       79242       79242       79242       79242
          1              l2_subp0_write_sector_misses       79242       79242       79242       79242
          1              l2_subp1_write_sector_misses       79252       79252       79252       79252
          1               l2_subp0_read_sector_misses     2961339     2961339     2961339     2961339
          1               l2_subp1_read_sector_misses     2961364     2961364     2961364     2961364
          1          l2_subp0_read_tex_sector_queries    83951616    83951616    83951616    83951616
          1          l2_subp1_read_tex_sector_queries    83951616    83951616    83951616    83951616
          1         l2_subp0_write_tex_sector_queries    67174400    67174400    67174400    67174400
          1         l2_subp1_write_tex_sector_queries    67174400    67174400    67174400    67174400
          1             l2_subp0_read_tex_hit_sectors    81183744    81183744    81183744    81183744
