wgx wgy reg actThreadsPerMP actWarpsPerMP actThreadBlockPerMP Occupancy
8 32 25 2048 64 8 100%
8 16 28 2048 64 8 100%
8 8 30 2048 64 8 100%
8 4 31 2048 64 8 100%
8 2 31 2048 64 8 100%
8 1 31 2048 64 8 100%
4 32 30 2048 64 8 100%
4 16 33 1536 48 6 75%
4 8 38 1536 48 6 75%
4 4 38 1536 48 6 75%
4 2 38 1536 48 6 75%
4 1 38 1536 48 6 75%
2 32 37 1536 48 6 75%
2 16 40 1536 48 6 75%
2 8 46 1280 40 5 63%
2 4 47 1280 40 5 63%
2 2 47 1280 40 5 63%
2 1 47 1280 40 5 63%
1 32 32 2048 64 8 100%
1 16 56 1024 32 4 50%
1 8 57 1024 32 4 50%
1 4 74 768 24 3 38%
1 2 72 768 24 3 38%
1 1 72 768 24 3 38%
